Attribute,Description,Value,Meaning
AGER_TYP,best-ager typology,-1,unknown
AGER_TYP,best-ager typology,0,no classification possible
AGER_TYP,best-ager typology,1,passive elderly
AGER_TYP,best-ager typology,2,cultural elderly
AGER_TYP,best-ager typology,3,experience-driven elderly
ALTERSKATEGORIE_GROB,age classification through prename analysis ,"-1, 0",unknown
ALTERSKATEGORIE_GROB,age classification through prename analysis ,1,< 30 years
ALTERSKATEGORIE_GROB,age classification through prename analysis ,2,30 - 45 years
ALTERSKATEGORIE_GROB,age classification through prename analysis ,3,46 - 60 years
ALTERSKATEGORIE_GROB,age classification through prename analysis ,4,> 60 years
ALTERSKATEGORIE_GROB,age classification through prename analysis ,9,uniformly distributed
ALTER_HH,main age within the household,0,unknown / no main age detectable
ALTER_HH,main age within the household,1,01.01.1895 bis 31.12.1899
ALTER_HH,main age within the household,2,01.01.1900 bis 31.12.1904
ALTER_HH,main age within the household,3,01.01.1905 bis 31.12.1909
ALTER_HH,main age within the household,4,01.01.1910 bis 31.12.1914
ALTER_HH,main age within the household,5,01.01.1915 bis 31.12.1919
ALTER_HH,main age within the household,6,01.01.1920 bis 31.12.1924
ALTER_HH,main age within the household,7,01.01.1925 bis 31.12.1929
ALTER_HH,main age within the household,8,01.01.1930 bis 31.12.1934
ALTER_HH,main age within the household,9,01.01.1935 bis 31.12.1939
ALTER_HH,main age within the household,10,01.01.1940 bis 31.12.1944
ALTER_HH,main age within the household,11,01.01.1945 bis 31.12.1949
ALTER_HH,main age within the household,12,01.01.1950 bis 31.12.1954
ALTER_HH,main age within the household,13,01.01.1955 bis 31.12.1959
ALTER_HH,main age within the household,14,01.01.1960 bis 31.12.1964
ALTER_HH,main age within the household,15,01.01.1965 bis 31.12.1969
ALTER_HH,main age within the household,16,01.01.1970 bis 31.12.1974
ALTER_HH,main age within the household,17,01.01.1975 bis 31.12.1979
ALTER_HH,main age within the household,18,01.01.1980 bis 31.12.1984
ALTER_HH,main age within the household,19,01.01.1985 bis 31.12.1989
ALTER_HH,main age within the household,20,01.01.1990 bis 31.12.1994
ALTER_HH,main age within the household,21,01.01.1995 bis 31.12.1999
ANREDE_KZ,gender,"-1, 0",unknown
ANREDE_KZ,gender,1,male
ANREDE_KZ,gender,2,female
ANZ_HAUSHALTE_AKTIV,number of households in the building,,numeric value (typically coded from 1-10)
ANZ_HH_TITEL,number of academic title holder in building,,numeric value (typically coded from 1-10)
ANZ_PERSONEN,number of adult persons in the household,,numeric value (typically coded from 1-3)
ANZ_TITEL,number of professional title holder in household ,,numeric value (typically coded from 1-10)
BALLRAUM,distance to next urban centre ,-1,unknown
BALLRAUM,distance to next urban centre ,1,till 10 km
BALLRAUM,distance to next urban centre ,2,10 - 20 km
BALLRAUM,distance to next urban centre ,3,20 - 30 km
BALLRAUM,distance to next urban centre ,4,30 - 40 km
BALLRAUM,distance to next urban centre ,5,40 - 50 km
BALLRAUM,distance to next urban centre ,6,50-100 km
BALLRAUM,distance to next urban centre ,7,more than 100 km 
BIP_FLAG,business-flag indicating companies in the building,-1,unknown
BIP_FLAG,business-flag indicating companies in the building,0,no company in the building
BIP_FLAG,business-flag indicating companies in the building,1,company in the building
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,-1,unknown
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,1,upper class
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,2,upper middleclass
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,3,established middleclasse
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,4,consumption-oriented middleclass 
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,5,active middleclass 
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,6,low-consumption middleclass
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,7,lower middleclass
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,8,working class
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,9,urban working class
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1A,Work-Life-Balance
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1B,Wealthy Best Ager
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1C,Successful Songwriter
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1D,Old Nobility
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1E,City Nobility
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2A,Cottage Chic
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2B,Noble Jogger
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2C,Established gourmet
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2D,Fine Management
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3A,Career & Family
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3B,Powershopping Families
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3C,Rural Neighborhood
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3D,Secure Retirement
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4A,Family Starter
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4B,Family Life
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4C,String Trimmer
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4D,Empty Nest
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4E,Golden Ager
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5A,Younger Employees
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5B,Suddenly Family
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5C,Family First
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5D,Stock Market Junkies
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5E,Coffee Rider
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5F,Active Retirement
