Information level,Attribute
Person,AGER_TYP
Person,ALTERSKATEGORIE_GROB
Person,ANREDE_KZ
Person,CJT_GESAMTTYP
Person,FINANZ_MINIMALIST
Person,FINANZ_SPARER
Person,FINANZ_VORSORGER
Person,FINANZ_ANLEGER
Person,FINANZ_UNAUFFAELLIGER
Person,FINANZ_HAUSBAUER
Person,FINANZTYP
Person,GEBURTSJAHR
Person,GFK_URLAUBERTYP
Person,GREEN_AVANTGARDE
Person,HEALTH_TYP
Person,LP_LEBENSPHASE_FEIN
Person,LP_LEBENSPHASE_GROB
Person,LP_FAMILIE_FEIN
Person,LP_FAMILIE_GROB
Person,LP_STATUS_FEIN
Person,LP_STATUS_GROB
Person,NATIONALITAET_KZ
Person,PRAEGENDE_JUGENDJAHRE
Person,RETOURTYP_BK_S
Person,SEMIO_SOZ
Person,SEMIO_FAM
Person,SEMIO_REL
Person,SEMIO_MAT
Person,SEMIO_VERT
Person,SEMIO_LUST
Person,SEMIO_ERL
Person,SEMIO_KULT
Person,SEMIO_RAT
Person,SEMIO_KRIT
Person,SEMIO_DOM
Person,SEMIO_KAEM
Person,SEMIO_PFLICHT
Person,SEMIO_TRADV
Person,SHOPPER_TYP
Person,SOHO_FLAG
Person,TITEL_KZ
Person,VERS_TYP
Person,ZABEOTYP
Person,ALTER_HH
Person,ANZ_PERSONEN
Person,ANZ_TITEL
Person,HAUSHALTSSTRUKTUR
Person,HH_EINKOMMEN_SCORE
Person,D19_KK_KUNDENTYP
Person,D19_KONSUMTYP
Person,D19_GESAMT_ANZ_12                                    D19_GESAMT_ANZ_24
Person,D19_BANKEN_ ANZ_12             D19_BANKEN_ ANZ_24
Person,D19_TELKO_ ANZ_12                  D19_TELKO_ ANZ_24
Person,D19_VERSI_ ANZ_12                                       D19_VERSI_ ANZ_24
Person,D19_VERSAND_ ANZ_12          D19_VERSAND_ ANZ_24
Person,D19_GESAMT_OFFLINE_DATUM
Person,D19_GESAMT_ONLINE_DATUM
Person,D19_GESAMT_DATUM
Person,D19_BANKEN_OFFLINE_DATUM
Person,D19_BANKEN_ONLINE_DATUM
Person,D19_BANKEN_DATUM
Person,D19_TELKO_OFFLINE_DATUM
Person,D19_TELKO_ONLINE_DATUM
Person,D19_TELKO_DATUM
Person,D19_VERSAND_OFFLINE_DATUM
Person,D19_VERSAND_ONLINE_DATUM
Person,D19_VERSAND_DATUM
Person,D19_VERSI_OFFLINE_DATUM
Person,D19_VERSI_ONLINE_DATUM
